entry,nu_e,nu_pdg,weightSplineTimesTuneTimesPPFX,weightSplineTimesPPFX
10655,1.5422568,12,0.69684553,0.69684553
10656,4.180792,12,1.003911,1.003911
10657,1.8089411,12,1.2944617,1.2944617
10658,3.7958748,12,0.96394056,0.96394056
10659,4.5159726,12,1.003911,1.003911
10660,0.8763037,12,0.38179272,0.38179272
10661,2.363672,12,1.0904847,1.0904847
10662,0.53468394,12,0.6028721,0.5409417
10663,0.68349016,-12,0.00013544685,0.52316344
10664,1.3226815,12,1.7430063,1.7430063
10665,3.698857,12,0.8932298,0.8932298
10666,1.2601465,-12,1.2117381,1.0304551
10667,2.690041,12,0.69627887,0.60681635
10668,3.83205,-12,1.0068877,1.0068877
10669,0.6781842,-12,1.161261,1.0054792
10670,1.6469717,12,1.1197398,0.9522339
10671,1.2048968,12,1.2327361,1.0036438
10672,1.6888014,-12,1.0210406,1.0210406
10673,0.88695264,12,1.1178546,1.1178546
10674,1.7069921,12,1.2346196,0.9792476
10675,0.96199185,12,0.97612506,0.97612506
10676,0.85427105,12,1.0315661,1.0315661
10677,1.6505611,12,0.8786935,0.8786935
10678,1.2006946,12,1.2326283,1.0036438
10679,1.2053156,12,0.90696204,0.90696204
10680,3.32133,12,0.5437343,0.5437343
10681,0.9283464,12,0.92001694,0.92001694
10682,0.7953944,12,0.6257721,0.5206933
10683,1.4483348,12,1.40689425e-08,0.99605584
10684,0.999226,12,1.0121158,1.0121158
10685,1.7007363,-12,0.3162862,0.3162862
10686,1.1426347,12,0.5078341,0.5078341
10687,0.55276936,12,1.0359493,0.87791336
10688,0.7056797,12,1.2654569,1.0294142
10689,2.3199344,12,1.6604708,1.5902853
10690,3.2014017,12,0.93716717,0.93716717
10691,2.5432525,12,1.2392741,1.2392741
10692,3.113671,-12,1.2036164,1.013475
10693,0.44186208,12,0.6077558,0.5230055
10694,2.0544367,12,1.0367167,1.0367167
10695,0.5572994,12,1.0203176,0.87791336
10696,1.6197324,-12,1.1823632,1.0792046
10697,0.67450064,12,1.1442658,1.1442658
10698,1.0127344,12,1.1831381,1.0626954
10699,0.6230576,12,0.52501696,0.4625861
10700,0.951681,12,1.001906,1.001906
10701,1.1002231,-12,9.318249e-05,0.9838238
10702,2.983683,12,1.004969,1.004969
10703,2.80569,12,1.2389445,1.2389445
